"name","metascore","console","userscore","date","date.formatted","Genre","Publisher"
".detuned",46,"PS3",37,"Oct 15, 2009",2009-10-15,NA,NA
".hack//G.U. Last Recode",76,"PS4",78,"Nov 3, 2017",2017-11-03,NA,NA
".hack//G.U. Last Recode",69,"PC",65,"Nov 3, 2017",2017-11-03,NA,NA
".hack//G.U. vol. 1//Rebirth",69,"PS2",81,"Oct 24, 2006",2006-10-24,NA,NA
".hack//G.U. vol. 2//Reminisce",61,"PS2",83,"May 8, 2007",2007-05-08,NA,NA
".hack//G.U. vol. 3//Redemption",60,"PS2",85,"Sep 10, 2007",2007-09-10,NA,NA
".hack//Infection Part 1",75,"PS2",83,"Feb 10, 2003",2003-02-10,"Role-Playing","Atari"
".hack//Mutation Part 2",76,"PS2",85,"May 6, 2003",2003-05-06,"Role-Playing","Atari"
".hack//Outbreak Part 3",70,"PS2",83,"Sep 9, 2003",2003-09-09,"Role-Playing","Atari"
".hack//Quarantine Part 4",70,"PS2",83,"Jan 14, 2004",2004-01-14,NA,NA
"#IDARB",77,"XONE",71,"Jan 30, 2015",2015-01-30,NA,NA
"#KILLALLZOMBIES",53,"XONE",NA,"Aug 10, 2016",2016-08-10,NA,NA
"0 Day Attack on Earth",41,"X360",45,"Dec 23, 2009",2009-12-23,NA,NA
"007 Legends",45,"X360",44,"Oct 16, 2012",2012-10-16,NA,NA
"007 Legends",41,"PS3",41,"Oct 16, 2012",2012-10-16,NA,NA
"007 Racing",51,"PS",47,"Nov 20, 2000",2000-11-20,"Racing","Electronic Arts"
"007: NightFire",59,"PC",60,"Nov 28, 2002",2002-11-28,NA,NA
"007: Quantum of Solace",65,"X360",71,"Nov 4, 2008",2008-11-04,"Action","Activision"
"007: Quantum of Solace",65,"X360",71,"Nov 4, 2008",2008-11-04,"Action","Activision"
"007: Quantum of Solace",65,"X360",71,"Nov 4, 2008",2008-11-04,"Action","Activision"
"007: Quantum of Solace",65,"X360",71,"Nov 4, 2008",2008-11-04,"Action","Activision"
"007: Quantum of Solace",65,"X360",71,"Nov 4, 2008",2008-11-04,"Action","Activision"
